Date,Value,DataCollectedAt
2008-02-13,89.1382,2026-09-18
2008-02-14,88.9055,2026-09-18
2008-02-15,88.9006,2026-09-18
2008-02-18,88.9004,2026-09-18
2008-02-19,88.9626,2026-09-18
2008-02-20,89.2572,2026-09-18
2008-02-21,88.716,2026-09-18
2008-02-22,88.7082,2026-09-18
2008-02-25,88.5373,2026-09-18
2008-02-26,88.0998,2026-09-18
2008-02-27,87.3353,2026-09-18
2008-02-28,87.0363,2026-09-18
2008-02-29,87.1654,2026-09-18
2008-03-03,87.2381,2026-09-18
2008-03-04,87.3039,2026-09-18
2008-03-05,87.1347,2026-09-18
2008-03-06,86.9105,2026-09-18
2008-03-07,87.1258,2026-09-18
2008-03-10,87.1452,2026-09-18
2008-03-11,87.1763,2026-09-18
2008-03-12,86.728,2026-09-18
2008-03-13,86.3891,2026-09-18
2008-03-14,86.4301,2026-09-18
2008-03-17,86.3417,2026-09-18
2008-03-18,86.1191,2026-09-18
2008-03-19,86.5755,2026-09-18
2008-03-20,87.3293,2026-09-18
2008-03-21,87.2111,2026-09-18
2008-03-24,87.3103,2026-09-18
2008-03-25,86.8339,2026-09-18
2008-03-26,86.5513,2026-09-18
2008-03-27,86.4583,2026-09-18
2008-03-28,86.6369,2026-09-18
2008-03-31,86.6881,2026-09-18
2008-04-01,87.0276,2026-09-18
2008-04-02,86.8886,2026-09-18
2008-04-03,86.6424,2026-09-18
2008-04-04,86.5108,2026-09-18
2008-04-07,86.603,2026-09-18
2008-04-08,86.7369,2026-09-18
2008-04-09,86.5764,2026-09-18
2008-04-10,86.5131,2026-09-18
2008-04-11,86.5029,2026-09-18
2008-04-14,86.3492,2026-09-18
2008-04-15,86.4705,2026-09-18
2008-04-16,85.9037,2026-09-18
2008-04-17,86.1077,2026-09-18
2008-04-18,86.5277,2026-09-18
2008-04-21,86.2979,2026-09-18
2008-04-22,85.927,2026-09-18
2008-04-23,86.3841,2026-09-18
2008-04-24,86.7154,2026-09-18
2008-04-25,86.8337,2026-09-18
2008-04-28,86.7635,2026-09-18
2008-04-29,86.873,2026-09-18
2008-04-30,86.8907,2026-09-18
2008-05-01,87.1347,2026-09-18
2008-05-02,87.2311,2026-09-18
2008-05-05,87.0636,2026-09-18
2008-05-06,86.847,2026-09-18
2008-05-07,87.3421,2026-09-18
2008-05-08,87.4575,2026-09-18
2008-05-09,87.2528,2026-09-18
2008-05-12,87.0403,2026-09-18
2008-05-13,87.1332,2026-09-18
2008-05-14,87.3659,2026-09-18
2008-05-15,87.1823,2026-09-18
2008-05-16,86.7855,2026-09-18
2008-05-19,86.8225,2026-09-18
2008-05-20,86.5627,2026-09-18
2008-05-21,86.1595,2026-09-18
2008-05-22,86.3223,2026-09-18
2008-05-23,86.1922,2026-09-18
2008-05-26,86.19,2026-09-18
2008-05-27,86.4459,2026-09-18
2008-05-28,86.4951,2026-09-18
2008-05-29,86.5616,2026-09-18
2008-05-30,86.5504,2026-09-18
2008-06-02,86.6321,2026-09-18
2008-06-03,86.8359,2026-09-18
2008-06-04,87.0999,2026-09-18
2008-06-05,87.0968,2026-09-18
2008-06-06,86.8028,2026-09-18
2008-06-09,86.9096,2026-09-18
2008-06-10,87.4705,2026-09-18
2008-06-11,87.2059,2026-09-18
2008-06-12,87.6187,2026-09-18
2008-06-13,87.7622,2026-09-18
2008-06-16,87.3911,2026-09-18
2008-06-17,87.2103,2026-09-18
2008-06-18,87.1872,2026-09-18
2008-06-19,87.0815,2026-09-18
2008-06-20,86.9036,2026-09-18
2008-06-23,87.2163,2026-09-18
2008-06-24,86.9666,2026-09-18
2008-06-25,87.0535,2026-09-18
2008-06-26,86.6793,2026-09-18
2008-06-27,86.643,2026-09-18
2008-06-30,86.7621,2026-09-18
2008-07-01,86.8447,2026-09-18
2008-07-02,86.4782,2026-09-18
